,Time,ux,uy,vx,vy,s,Fropex,Fropey,Fdragx,Fdragy,Frope_total,Fdrag_total,pro_rxn_force
0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003,0.0,1.9999558550007956,0.0,-0.02942999893899704,0.0,0.0,0.0,0.0,7.427020481985822e-05,0.0,7.427020481985822e-05,0.0
2,0.006,0.0,1.9998234200127318,0.0,-0.05885999151197745,0.0,0.0,0.0,0.0,0.00029708075501774745,0.0,0.00029708075501774745,0.0
3,0.009000000000000001,0.0,1.9996026950644556,0.0,-0.08828997135293008,0.0,0.0,0.0,0.0,0.0006684314578087293,0.0,0.0006684314578087293,0.0
4,0.012,0.0,1.9992936802037122,0.0,-0.11771993209585484,0.0,0.0,0.0,0.0,0.0011883219918849672,0.0,0.0011883219918849672,0.0
5,0.015,0.0,1.9988963754973446,0.0,-0.14714986737476812,0.0,0.0,0.0,0.0,0.0018567519074163164,0.0,0.0018567519074163164,0.0
6,0.018,0.0,1.9984107810312937,0.0,-0.17657977082370838,0.0,0.0,0.0,0.0,0.0026737206260511524,0.0,0.0026737206260511524,0.0
7,0.020999999999999998,0.0,1.9978368969105982,0.0,-0.20600963607674158,0.0,0.0,0.0,0.0,0.003639227440917433,0.0,0.003639227440917433,0.0
8,0.023999999999999997,0.0,1.9971747232593948,0.0,-0.2354394567679668,0.0,0.0,0.0,0.0,0.004753271516623999,0.0,0.004753271516623999,0.0
9,0.026999999999999996,0.0,1.996424260220918,0.0,-0.26486922653152156,0.0,0.0,0.0,0.0,0.0060158518892621075,0.0,0.0060158518892621075,0.0
10,0.029999999999999995,0.0,1.9955855079574991,0.0,-0.29429893900158755,0.0,0.0,0.0,0.0,0.00742696746640721,0.0,0.00742696746640721,0.0
11,0.032999999999999995,0.0,1.9946584666505676,0.0,-0.323728587812396,0.0,0.0,0.0,0.0,0.008986617027120954,0.0,0.008986617027120954,0.0
12,0.036,0.0,1.9936431365006497,0.0,-0.35315816659823324,0.0,0.0,0.0,0.0,0.010694799221953436,0.0,0.010694799221953436,0.0
13,0.039,0.0,1.9925395177273688,0.0,-0.3825876689934461,0.0,0.0,0.0,0.0,0.012551512572945669,0.0,0.012551512572945669,0.0
14,0.042,0.0,1.9913476105694452,0.0,-0.4120170886324476,0.0,0.0,0.0,0.0,0.01455675547363232,0.0,0.01455675547363232,0.0
15,0.045000000000000005,0.0,1.9900674152846958,0.0,-0.4414464191497224,0.0,0.0,0.0,0.0,0.01671052618904464,0.0,0.01671052618904464,0.0
16,0.04800000000000001,0.0,1.988698932150034,0.0,-0.47087565417983207,0.0,0.0,0.0,0.0,0.019012822855713676,0.0,0.019012822855713676,0.0
17,0.05100000000000001,0.0,1.9872421614614693,0.0,-0.500304787357421,0.0,0.0,0.0,0.0,0.021463643481673685,0.0,0.021463643481673685,0.0
18,0.05400000000000001,0.0,1.985697103534107,0.0,-0.5297338123172216,0.0,0.0,0.0,0.0,0.024062985946465786,0.0,0.024062985946465786,0.0
19,0.057000000000000016,0.0,1.9840637587021488,0.0,-0.55916272269406,0.0,0.0,0.0,0.0,0.026810848001141887,0.0,0.026810848001141887,0.0
20,0.06000000000000002,0.0,1.9823421273188908,0.0,-0.5885915121228613,0.0,0.0,0.0,0.0,0.02970722726826881,0.0,0.02970722726826881,0.0
21,0.06300000000000001,0.0,1.9805322097567246,0.0,-0.6180201742386554,0.0,0.0,0.0,0.0,0.03275212124193262,0.0,0.03275212124193262,0.0
22,0.06600000000000002,0.0,1.9786340064071366,0.0,-0.6474487026765823,0.0,0.0,0.0,0.0,0.0359455272877433,0.0,0.0359455272877433,0.0
23,0.06900000000000002,0.0,1.9766475176807077,0.0,-0.6768770910718976,0.0,0.0,0.0,0.0,0.039287442642839565,0.0,0.039287442642839565,0.0
24,0.07200000000000002,0.0,1.9745727440071126,0.0,-0.7063053330599782,0.0,0.0,0.0,0.0,0.042777864415893915,0.0,0.042777864415893915,0.0
25,0.07500000000000002,0.0,1.9724096858351197,0.0,-0.7357334222763277,0.0,0.0,0.0,0.0,0.046416789587117986,0.0,0.046416789587117986,0.0
26,0.07800000000000003,0.0,1.9701583436325907,0.0,-0.7651613523565814,0.0,0.0,0.0,0.0,0.0502042150082681,0.0,0.0502042150082681,0.0
27,0.08100000000000003,0.0,1.9678187178864806,0.0,-0.794589116936513,0.0,0.0,0.0,0.0,0.054140137402651015,0.0,0.054140137402651015,0.0
28,0.08400000000000003,0.0,1.965390809102836,0.0,-0.8240167096520388,0.0,0.0,0.0,0.0,0.058224553365129994,0.0,0.058224553365129994,0.0
29,0.08700000000000004,0.0,1.9628746178067966,0.0,-0.853444124139224,0.0,0.0,0.0,0.0,0.06245745936213105,0.0,0.06245745936213105,0.0
30,0.09000000000000004,0.0,1.960270144542593,0.0,-0.8828713540342881,0.0,0.0,0.0,0.0,0.06683885173164944,0.0,0.06683885173164944,0.0
31,0.09300000000000004,0.0,1.9575773898735467,0.0,-0.91229839297361,0.0,0.0,0.0,0.0,0.07136872668325636,0.0,0.07136872668325636,0.0
32,0.09600000000000004,0.0,1.9547963543820706,0.0,-0.9417252345937343,0.0,0.0,0.0,0.0,0.076047080298106,0.0,0.076047080298106,0.0
33,0.09900000000000005,0.0,1.9519270386696668,0.0,-0.9711518725313757,0.0,0.0,0.0,0.0,0.08087390852894269,0.0,0.08087390852894269,0.0
34,0.10200000000000005,0.0,1.9489694433569278,0.0,-1.0005783004234254,0.0,0.0,0.0,0.0,0.08584920720010829,0.0,0.08584920720010829,0.0
